ticker,Date
AAPL,24-09-2022
AAPL,25-09-2021
AAPL,26-09-2020
AAPL,28-09-2019
AAPL,29-09-2018
AAPL,30-09-2017
AAPL,24-09-2016
AAPL,26-09-2015
AAPL,27-09-2014
AAPL,28-09-2013
AAPL,29-09-2012
AAPL,24-09-2011
AAPL,25-09-2010
AAPL,26-09-2009
AAPL,27-09-2008
AAPL,29-09-2007
AAPL,30-09-2006
AAPL,24-09-2005
AAPL,25-09-2004
AAPL,27-09-2003
AAPL,28-09-2002
AAPL,29-09-2001
AAPL,30-09-2000
AAPL,25-09-1999
AAPL,25-09-1998
AAPL,26-09-1997
AAPL,27-09-1996
AAPL,29-09-1995
AAPL,30-09-1994
AAPL,30-09-1993
AAPL,30-09-1992
AAPL,30-09-1991
AAPL,30-09-1990
AAPL,30-09-1989
AAPL,30-09-1988
AAPL,30-09-1987
AAPL,30-09-1986
AAPL,30-09-1985
AMZN,31-12-2022
AMZN,31-12-2021
AMZN,31-12-2020
AMZN,31-12-2019
AMZN,31-12-2018
AMZN,31-12-2017
AMZN,31-12-2016
AMZN,31-12-2015
AMZN,31-12-2014
AMZN,31-12-2013
AMZN,31-12-2012
AMZN,31-12-2011
AMZN,31-12-2010
AMZN,31-12-2009
AMZN,31-12-2008
AMZN,31-12-2007
AMZN,31-12-2006
AMZN,31-12-2005
AMZN,31-12-2004
AMZN,31-12-2003
AMZN,31-12-2002
AMZN,31-12-2001
AMZN,31-12-2000
AMZN,31-12-1999
AMZN,31-12-1998
AMZN,31-12-1997
AMZN,31-12-1996
META,31-12-2022
META,31-12-2021
META,31-12-2020
META,31-12-2019
META,31-12-2018
META,31-12-2017
META,31-12-2016
META,31-12-2015
META,31-12-2014
META,31-12-2013
META,31-12-2012
META,31-12-2011
META,31-12-2010
MSFT,30-06-2022
MSFT,30-06-2021
MSFT,30-06-2020
MSFT,30-06-2019
MSFT,30-06-2018
MSFT,30-06-2017
MSFT,30-06-2016
MSFT,30-06-2015
MSFT,30-06-2014
MSFT,30-06-2013
MSFT,30-06-2012
MSFT,30-06-2011
MSFT,30-06-2010
MSFT,30-06-2009
MSFT,30-06-2008
MSFT,30-06-2007
MSFT,30-06-2006
MSFT,30-06-2005
MSFT,30-06-2004
MSFT,30-06-2003
MSFT,30-06-2002
MSFT,30-06-2001
MSFT,30-06-2000
MSFT,30-06-1999
MSFT,30-06-1998
MSFT,30-06-1997
MSFT,30-06-1996
MSFT,30-06-1995
MSFT,30-06-1994
MSFT,30-06-1993
MSFT,30-06-1992
MSFT,30-06-1991
MSFT,30-06-1990
MSFT,30-06-1989
MSFT,30-06-1988
MSFT,30-06-1987
MSFT,30-06-1986
NFLX,31-12-2022
NFLX,31-12-2021
NFLX,31-12-2020
NFLX,31-12-2019
NFLX,31-12-2018
NFLX,31-12-2017
NFLX,31-12-2016
NFLX,31-12-2015
NFLX,31-12-2014
NFLX,31-12-2013
NFLX,31-12-2012
NFLX,31-12-2011
NFLX,31-12-2010
NFLX,31-12-2009
NFLX,31-12-2008
NFLX,31-12-2007
NFLX,31-12-2006
NFLX,31-12-2005
NFLX,31-12-2004
NFLX,31-12-2003
NFLX,31-12-2002
NFLX,31-12-2001
NFLX,31-12-2000
NVDA,29-01-2023
NVDA,30-01-2022
NVDA,31-01-2021
NVDA,26-01-2020
NVDA,27-01-2019
NVDA,28-01-2018
NVDA,29-01-2017
NVDA,31-01-2016
NVDA,25-01-2015
NVDA,26-01-2014
NVDA,27-01-2013
NVDA,29-01-2012
NVDA,30-01-2011
NVDA,31-01-2010
NVDA,31-01-2009
NVDA,31-01-2008
NVDA,28-01-2007
NVDA,29-01-2006
NVDA,30-01-2005
NVDA,31-01-2004
NVDA,26-01-2003
NVDA,27-01-2002
NVDA,28-01-2001
NVDA,30-01-2000
NVDA,31-01-1999
TSLA,31-12-2022
TSLA,31-12-2021
TSLA,31-12-2020
TSLA,31-12-2019
TSLA,31-12-2018
TSLA,31-12-2017
TSLA,31-12-2016
TSLA,31-12-2015
TSLA,31-12-2014
TSLA,31-12-2013
TSLA,31-12-2012
TSLA,31-12-2011
TSLA,31-12-2010
TSLA,31-12-2009
TSLA,31-12-2008
TSLA,31-12-2007
